,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
160,Tyjae Spears,TEN,RB,24,13,1,0,0,0,0,0,72,283,3.93,2,50,45,264,5.87,0,0,0,2,,,67,111.7,117.7,89.2,,54,,SpeaTy00
161,Xavier Worthy,KAN,WR,22,14,13,0,0,0,0,0,11,87,7.91,0,73,42,532,12.67,1,0,0,1,,,68,109.9,112.9,88.9,,57,,WortXa00
162,Devin Singletary,NYG,RB,28,17,1,0,0,0,0,0,119,437,3.67,5,19,18,151,8.39,0,0,0,5,,1,91,108.8,114.8,99.8,,43,,SingDe00
163,Jakobi Meyers,JAX,WR,29,9,7,0,0,0,0,0,5,13,2.60,0,61,42,483,11.50,3,1,1,3,,,66,107.6,111.6,86.6,,59,,MeyeJa01
164,Sam LaPorta,DET,TE,24,9,9,0,0,0,0,0,0,0,,0,49,40,489,12.23,3,0,0,3,,,67,106.9,109.9,86.9,,26,,LaPoSa01
165,Rashid Shaheed*,NOR,WR,27,9,9,0,0,0,0,0,2,5,2.50,0,66,44,499,11.34,2,1,1,2,,,60,104.4,108.4,82.4,,67,,ShahRa00
166,Dawson Knox,BUF,TE,29,17,12,0,0,0,0,0,0,0,,0,49,36,417,11.58,4,0,0,4,1,,68,103.7,106.7,85.7,,25,,KnoxDa00
167,Kirk Cousins,ATL,QB,37,10,8,166,269,1721,10,5,14,7,0.50,1,0,0,0,,0,3,1,1,,,104,103.5,112.5,108.5,,35,,CousKi00
168,Evan Engram,DEN,TE,31,16,2,0,0,0,0,0,1,7,7.00,0,76,50,461,9.22,1,0,0,1,,,53,102.8,105.8,77.8,,32,,EngrEv00
169,Keon Coleman,BUF,WR,22,13,6,0,0,0,0,0,0,0,,0,59,38,404,10.63,4,1,1,4,1,,64,102.4,106.4,83.4,,61,,ColeKe02
170,Jalen Nailor,MIN,WR,26,17,8,0,0,0,0,0,2,13,6.50,0,53,29,444,15.31,4,0,0,4,1,,72,100.7,103.7,86.2,,53,,NailJa00
171,Alvin Kamara,NOR,RB,30,11,11,0,0,0,0,0,131,471,3.60,1,39,33,186,5.64,0,2,2,1,,,68,100.7,108.7,84.2,,53,,KamaAl00
172,Ty Johnson,BUF,RB,28,17,0,0,0,0,0,0,50,200,4.00,3,33,24,263,10.96,2,1,0,5,,,76,100.3,106.3,88.3,,49,,JohnTy02
173,Garrett Wilson,NYJ,WR,25,7,7,0,0,0,0,0,0,0,,0,59,36,395,10.97,4,1,0,4,,,64,99.5,102.5,81.5,,63,,WilsGa00
174,Spencer Rattler,NOR,QB,25,9,8,174,257,1586,8,5,31,167,5.39,0,2,1,0,0.00,0,4,2,0,,,98,99.1,112.1,103.6,,36,,RattSp00
175,Michael Carter,ARI,RB,26,13,5,0,0,0,0,0,92,333,3.62,1,45,33,267,8.09,0,0,0,1,,,66,99.0,105.0,82.5,,55,,CartMi03
176,Darius Slayton,NYG,WR,28,14,12,0,0,0,0,0,0,0,,0,63,37,538,14.54,1,1,1,1,2,,62,98.8,102.8,80.3,,66,,SlayDa01
177,Xavier Hutchinson,HOU,WR,25,17,6,0,0,0,0,0,3,22,7.33,0,57,35,428,12.23,3,0,0,3,,,63,98.0,101.0,80.5,,64,,HutcXa00
178,DeMario Douglas,NWE,WR,25,17,0,0,0,0,0,0,7,21,3.00,0,46,31,447,14.42,3,0,0,3,,,65,95.8,98.8,80.3,,60,,DougDe00
179,Emanuel Wilson,GNB,RB,26,17,2,0,0,0,0,0,125,496,3.97,3,17,15,99,6.60,0,1,0,3,1,,80,94.5,97.5,87.0,,47,,WilsEm00
180,Jake Tonges,SFO,TE,26,17,2,0,0,0,0,0,0,0,,0,46,34,293,8.62,5,0,0,5,,,59,93.3,96.3,76.3,,30,,TongJa00
